DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationType,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Journal Article","Applicability of artificial intelligence in monitoring and improving educational performance in children with autism: A narrative review.","ObjectivesThis narrative review aims to explore the current applications of AI in monitoring and improving educational performance in children with autism, while identifying associated benefits, challenges, and research gaps.MethodsA narrative review design was employed to analyze peer-reviewed literature published between 2015 and 2025. A comprehensive search was conducted across PubMed, Scopus, Web of Science, IEEE Xplore, and ERIC using targeted keywords. Eligible studies focusing on the educational use of AI for children with autism were assessed through thematic synthesis.ResultsFindings revealed that AI technologies, including intelligent tutoring systems, computer vision, and conversational agents, enhance educational engagement, communication skills, and academic outcomes among autistic learners. AI-enabled tools also support educators by offering real-time feedback and data-driven insights. However, barriers such as data privacy concerns, algorithmic bias, infrastructural limitations, and insufficient training hinder widespread adoption. Moreover, a lack of longitudinal studies and standardized outcome measures were noted.ConclusionsAI holds significant potential to transform autism education by promoting personalized and inclusive learning. However, ethical safeguards, stakeholder involvement, and sustained research efforts are essential to ensure effective, equitable, and responsible integration. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Khan, Rayhan;Yeasmin, Sumaiya;Rony, Moustaq Karim Khan;Das, Srabani;Semi, Mst Masuma Akter;Islam, Md Azharul;Sabeena, Anseena Anees;Samiun, Md;Hasan, Rakibul","","","Journal","International Journal of Developmental Disabilities","Taylor & Francis","2025","","United Kingdom","","","No Pagination Specified","No Pagination Specified","","","*Academic Achievement;  *Artificial Intelligence;  *Autism Spectrum Disorders; Monitoring","","2026-71659-001","Rony, Moustaq Karim Khan: ","2047-3877(Electronic);2047-3869(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1080/20473869.2025.2562953"
"Journal Article","‘more than just music’: A multimodal intervention supporting adolescents with autism spectrum disorder in a community-based program in shanghai.","ObjectivesAutism Spectrum Disorder (ASD) affects communication, social interaction, and emotional expression, requiring multifaceted interventions. While Music Therapy (MT) is widely applied, its integration with structured education, real-life social practice, and technology-assisted methods may further enhance its effectiveness. This study evaluates the MT Plus (MT+) model developed by the Shanghai Angel Autism Salon (SAAS), which integrates traditional MT with structured academic instruction (LOVE CLASSROOM), vocational social training (A-COFFEE), and AI-assisted digital art to support adolescents with ASD.MethodsFifty-two adolescents with ASD participated in this intervention. Pre- and post-intervention outcomes were assessed using the Autism Behavior Checklist (ABC) and Parenting Stress Index–Short Form (PSI-SF). Independent t-tests and regression analyses were conducted to evaluated changes.ResultsSignificant improvements were observed in sensory processing, social interaction, motor skills, language, and self-care (Cohen’s d: 1.52–2.26), with the most substantial gain in self-care (88.42%). Parental stress and dysfunctional interactions decreased, particularly in child manageability (50.54%). AI-assisted components enhanced sensory outcomes (p = 0.005), and participation in A-COFFEE led to notable development in language skills (p = 0.040). Better child behavior was associated with lower parental stress (R2 = 0.325, p < 0.0001).ConclusionsThe MT+ model presents a holistic, community-based approach to improving outcomes for adolescents with ASD. Further research using randomized controlled trials is recommended. These findings suggest that the MT+ intervention may offer a promising community-based model for enhancing social communication, emotional regulation, and adaptive functioning in adolescents with autism. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Yu, Xiaoxuan;Ishiwata, Tanni;Zhang, Xiaobo;Zhang, Dandan;Xu, Lijun;Su, Yi;Sha, Xiaocao","","","Journal","International Journal of Developmental Disabilities","Taylor & Francis","2025","","United Kingdom","","","No Pagination Specified","No Pagination Specified","","","*Adolescent Psychopathology;  *Autism Spectrum Disorders;  *Community Services; Music Therapy","","2026-72572-001","Sha, Xiaocao: ","2047-3877(Electronic);2047-3869(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1080/20473869.2025.2561160"
"Journal Article","Enhancing communication and behavioral skills in Spanish-speaking children with autism spectrum disorder using SymboTalk and EC+: A pilot study.","Introduction: Autism spectrum disorder (ASD) is a neurological condition that impacts receptive and expressive communication as well as behavior. In this context, augmentative and alternative communication (AAC) strategies are increasingly integrated with information and communication technologies (ICT). ICT supports have significantly advanced AAC interventions, incorporating tools, software, and digital apps to facilitate information processing in educational and therapeutic settings. Despite the benefits, the wide range of these supports raises concerns about proper usage and optimal alignment with specific needs. Method: This pilot study evaluated the impact of an intervention with two different AAC with assistance (AAC+a) on 40 participants with ASD Level 3 within a Spanish-speaking context: communication board from the SymboTalk platform and list-form from the multimodal EC+ app. These supports were implemented using the aided augmented input strategy, an intervention methodology that utilizes these supports to facilitate functional communication by combining visual and oral input. Results: After 16 weeks, significant improvements in expressive and receptive communication were observed using the communication board support, although the other resource also proved to be a favorable support for the intervention. No differences were found between groups in behavioral outcomes and modes of communication. Conclusions: The results highlight the effectiveness of these supports, emphasizing the importance of teaching communication skills and implementing this strategy in a Spanish-speaking context. This consideration is crucial given the unique characteristics of this context and its potential impact on children with ASD and complex communication needs. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Zurita Díaz, Antonio Javier;Calleja Reina, Marina","","","Journal","Revista de Logopedia, Foniatría y Audiología","Elsevier Science","2025","","Netherlands","45","3","1","14","","","*Augmentative Communication;  *Autism Spectrum Disorders; Information and Communication Technology","","2026-61762-001","Zurita Díaz, Antonio Javier: Faculty of Psychology and Speech Therapy, University of Malaga (UMA), C. Dr. Ortiz Ramos, 12, Malaga, Spain, 29010, ajavier.zd@gmail.com","1578-1712(Electronic);0214-4603(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1016/j.rlfa.2025.100526"
"Journal Article","Agreement, reliability, feasibility, and acceptability of home-based telehealth versus face-to-face pediatric neuropsychological testing: A within-person crossover study.","Objective: It is unclear whether pediatric telehealth-delivered neuropsychology test results are comparable to those obtained face-to-face. This study reports results on (a) the agreement/reliability and (b) the feasibility and acceptability of telehealth neuropsychology testing in Australian children and adolescents. Method: Using a quasiprospective repeated-measures A followed by B:B followed by A crossover design, participants (N = 36), children with neurofibromatosis type 1, autism, and from the general population underwent face-to-face and telehealth testing using a trained parent facilitator. Measures included Full Scale IQ from the Wechsler Intelligence Scale for Children–Australian and New Zealand Standardised Fifth Edition; Word Reading, Spelling, and Numerical Operations subtests from the Wechsler Individual Achievement Test–Australian and New Zealand Standardised Third Edition; Comprehension of Instructions; Score!; Formulated Sentences; Rey Complex Figure Test; and the California Verbal Learning Test. Children, parents, and clinicians also completed a feasibility and acceptability survey. Results: Predominantly high agreement between face-to-face and telehealth intelligence and academic scores were identified from intraclass correlation coefficients, independent of age and retest period. Intraclass correlation coefficient values were excellent for Full Scale IQ, Spelling and Numerical Operations (0.91–0.95), good for all intelligence index scores, reading, verbal learning and expressive language (range, 0.76–0.89), moderate for verbal recall, comprehension of instructions and copy accuracy (range, 0.63–0.74), and poor for sustained attention (0.23). Reliable change indices revealed stable test scores across most neuropsychological tests. Telehealth-delivered neuropsychology testing was satisfactory according to children, parents, and clinicians, although in-person was slightly preferred over telehealth. Conclusions: Findings support the use of home-based telehealth testing in pediatric populations. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Haebich, Kristina M.;Darke, Hayley;Lami, Francesca;Maier, Alice;Chisholm, Anita K.;Ure, Alex;Hogan, Natasha L.;Eng, Yu Fan;Wrennall, Jacquie;Hearps, Stephen J. C.;Efron, Daryl;Joshua, Nicki;Dabscheck, Gabriel;North, Kathryn N.;Anderson, Vicki A.;Payne, Jonathan M.","","","Journal","Neuropsychology","American Psychological Association","2025","","US","39","2","172","186","","","*Intelligence Quotient;  *Neuropsychological Assessment;  *Neuropsychology;  *Pediatrics;  *Reading Comprehension;  *Telemedicine;  *Verbal Comprehension; Oceanian Cultural Groups","39946637","2025-80542-005","Haebich, Kristina M.: Murdoch Children’s Research Institute, Flemington Road, Parkville, Melbourne, VIC, Canada, 3052, kristina.haebich@mcri.edu.au","1931-1559(Electronic);0894-4105(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1037/neu0000989"
"Journal Article","The efficacy of a culturally-adapted group-based parent coaching program for autistic children in china via telehealth: A randomized controlled trial.","The study aimed to examine the efficacy of a culturally-adapted, group-based parent coaching program for autistic children in China delivered via telehealth. A randomized controlled trial was conducted, with 18 parents allocated to the self-directed group that received the intervention through an online learning platform, and 19 parents allocated to the web + group therapy group, which included the same program along with weekly 1.5-hour group coaching sessions via videoconferencing. The primary outcomes were parents’ mental health and children’s adaptive functioning, while the secondary outcomes focused on the child behaviors, parenting stress and parenting style, and family quality of life. Linear Mixed Models were used to evaluate treatment effects across time and to model longitudinal trajectories of outcomes in both children and parents. Both intervention groups showed significant improvements in children’s communication skills (F (1, 60.27) = 29.86, p < 0.001) and social engagement (F (1, 60.07) = 11.73, p = 0.001), as well as reductions in parenting stress (F (1, 59.07) = 8.76, p = 0.004) and anxiety levels (F (1, 57.62) = 4.84, p = 0.032). Additionally, the group-based parent coaching via videoconferencing was associated with greater improvements in children’s quality of life (F (1, 59.95) = 5.90, p = 0.018) and parents’ anxiety outcomes (F (1, 57.62) = 4.84, p = 0.032). This study demonstrated the efficacy of a culturally adapted telehealth intervention for both autistic children and their parents. The preliminary findings suggest positive outcomes in children’s adaptive functioning and parents’ mental well-being. Group-based parent coaching through videoconferencing could be a promising and practical model for in-home services, particularly for families with limited access to in-person services. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","Qu, Lu;Colombi, Costanza;Chen, Weiyun;Miller, Alison;Miller, Haylie;Ulrich, Dale A","","","Journal","Journal of Autism and Developmental Disorders","Springer","2024","","Germany","","","No Pagination Specified","No Pagination Specified","","","*Autism Spectrum Disorders;  *Group Psychotherapy;  *Parent Training;  *Parenting Style;  *Telemedicine;  *Coaching;  *Electronic Learning; Videoconferencing","","2025-26627-001","Ulrich, Dale A: ulrichd@umich.edu","1573-3432(Electronic);0162-3257(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1007/s10803-024-06543-8"
"Journal Article","Cognitive and socioeconomic predictors of Stroop performance in children and developmental patterns according to socioeconomic status and ADHD subtype.","Objectives: We conducted three empirical studies with the aim at (a) examining the cognitive predictors (i.e., working memory, inhibition, cognitive flexibility, reading, and intelligence) of each Stroop Color and Word Test (SCWT) condition (i.e., Word, Color, and Color–Word) and the convergent and divergent validity among measures, (b) examining the socioeconomic predictors of SCWT performance, further establishing normative values according to socioeconomic status (SES) and age, and (c) analyzing the distinctive patterns of performance according to SES and Attention Deficit and Hyperactivity Disorder (ADHD) subtype. Methods: A large sample of typically developing (TD) children from Middle- (n = 779) and Low- (n = 129) SES and ADHD children (n = 44), inattentive versus combined subtype, was evaluated. Multivariate analysis of variances (MANOVAs), Pearson’s correlations, and hierarchical and stepwise regressions analyses were performed. Results: Study 1 results indicated that SCWT conditions are selectively associated with reading speed and executive functions (EFs), and that the former would not depend on child’s IQ. Study 2 findings revealed distinct patterns of SCWT performance according to SES and selective associations between socioeconomic indicators and SCWT conditions, being maternal education and housing conditions the main predictors. Finally, Study 3 results revealed distinctive patterns of SCWT performance according to ADHD subtype, with no differences on the interference measure among groups. Conclusions: Our findings support the validity of the SCWT as a measure of inhibition in TD children. However, when the pattern of SCWT performance is different from the typical expected one (i.e., Word score higher than Color score and this, in turn, higher than Color–Word score), the interference measure should be interpreted with caution but without disregarding the relevant and distinctive information provided by each SCWT condition. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Arán Filippetti, Vanessa;Richaud, María Cristina;Krumm, Gabriela;Raimondi, Waldina","","","Journal","Psychology & Neuroscience","Educational Publishing Foundation","2021","","US","14","2","183","206","","","*Attention Deficit Disorder with Hyperactivity;  *Childhood Development;  *Socioeconomic Status;  *Stroop Color Word Test;  *Executive Function; Color; Neuropsychology; Subtypes (Disorders); Test Performance","","2021-30916-001","Arán Filippetti, Vanessa: Centro Interdisciplinario de Investigaciones en Psicologia Matematica y Experimental (CIIPME), CONICET, Direccion-Teniente General Juan Domingo Peron 2158, Buenos Aires, Argentina, C1040AAH, vanessaaranf@gmail.com","1983-3288(Electronic);1984-3054(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1037/pne0000224"
"Journal Article","Blending human and artificial intelligence to support autistic children’s social communication skills.","This article examines the educational efficacy of a learning environment in which children diagnosed with Autism Spectrum Conditions (ASC) engage in social interactions with an artificially intelligent (AI) virtual agent and where a human practitioner acts in support of the interactions. A multi-site intervention study in schools across the UK was conducted with 29 children with ASC and learning difficulties, aged 4–14 years old. For reasons related to data completeness and amount of exposure to the AI environment, data for 15 children was included in the analysis. The analysis revealed a significant increase in the proportion of social responses made by ASC children to human practitioners. The number of initiations made to human practitioners and to the virtual agent by the ASC children also increased numerically over the course of the sessions. However, due to large individual differences within the ASC group, this did not reach significance. Although no evidence of transfer to the real-world post-test was shown, anecdotal evidence of classroom transfer was reported. The work presented in this article offers an important contribution to the growing body of research in the context of AI technology design and use for autism intervention in real school contexts. Specifically, the work highlights key methodological challenges and opportunities in this area by leveraging interdisciplinary insights in a way that (i) bridges between educational interventions and intelligent technology design practices, (ii) considers the design of technology as well as the design of its use (context and procedures) on par with one another, and (iii) includes design contributions from different stakeholders, including children with and without ASC diagnosis, educational practitioners, and researchers. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Porayska-Pomsta, Kaśka;Alcorn, Alyssa M.;Avramides, Katerina;Beale, Sandra;Bernardini, Sara;Foster, Mary Ellen;Frauenberger, Christopher;Good, Judith;Guldberg, Karen;Keay-Bright, Wendy;Kossyvaki, Lila;Lemon, Oliver;Mademtzi, Marilena;Menzies, Rachel;Pain, Helen;Rajendran, Gnanathusharan;Waller, Annalu;Wass, Sam;Smith, Tim J.","","","Journal","ACM Transactions on Computer-Human Interaction","ACM - Association for Computing Machinery","2018","","US","25","6","1","35","","","*Artificial Intelligence;  *Autism Spectrum Disorders;  *Communication Skills;  *Special Education Students;  *Social Communication; Intelligence","","2019-04024-006","Porayska-Pomsta, Kaśka: University College London, UCL Institute of Education, UCL Knowledge Lab, 23-29 Emerald Street, London, United Kingdom, WC1N 3QS, K.Porayska-Pomsta@ucl.ac.uk","1557-7325(Electronic);1073-0516(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1145/3271484"
"Journal Article","The Multisensory Attention Assessment Protocol (MAAP): Characterizing individual differences in multisensory attention skills in infants and children and relations with language and cognition.","Multisensory attention skills provide a crucial foundation for early cognitive, social, and language development, yet there are no fine-grained, individual difference measures of these skills appropriate for preverbal children. The Multisensory Attention Assessment Protocol (MAAP) fills this need. In a single video-based protocol requiring no language skills, the MAAP assesses individual differences in three fundamental building blocks of attention to multisensory events—the duration of attention maintenance, the accuracy of intersensory (audiovisual) matching, and the speed of shifting—for both social and nonsocial events, in the context of high and low competing visual stimulation. In Experiment 1, 2- to 5-year-old children (N = 36) received the MAAP and assessments of language and cognitive functioning. In Experiment 2 the procedure was streamlined and presented to 12-month-olds (N = 48). Both infants and children showed high levels of attention maintenance to social and nonsocial events, impaired attention maintenance and speed of shifting when competing stimulation was high, and significant intersensory matching. Children showed longer maintenance, faster shifting, and less impairment from competing stimulation than infants. In 2- to 5-year-old children, duration and accuracy were intercorrelated, showed increases with age, and predicted cognitive and language functioning. The MAAP opens the door to assessing developmental pathways between early attention patterns to audiovisual events and language, cognitive, and social development. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Bahrick, Lorraine E.;Todd, James Torrence;Soska, Kasey C.","","","Journal","Developmental Psychology","American Psychological Association","2018","","US","54","12","2207","2225","","","*Attention;  *Cognitive Development;  *Early Childhood Development;  *Language Development;  *Psychosocial Development; Individual Differences; Infant Development; Intersensory Processes; Stimulation; Test Construction; Visual Attention","30359058","2018-52936-001","Todd, James Torrence: Department of Psychology, Florida International University, 11200 South West 8 Street, Miami, FL, US, 33199, jtodd@fiu.edu","1939-0599(Electronic);0012-1649(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1037/dev0000594"
"Journal Article","A brief report on the Verbal Behavior Curriculum (VBC) to teach children with autism and other language disorders.","This article gives an account of the development of a scope-and-sequence based curriculum, the Verbal Behavior Curriculum, and an overview of the learning principles that directed its design and incorporation of instructional delivery and management procedures. The curriculum was informed by both Skinnerian and post-Skinnerian accounts of complex language and cognitive behaviors, instructional design and delivery technologies derived from discrete trial-based, Direct Instruction and Precision Teaching research as well as application concepts. The bulk of the article details that part of the curriculum’s design intended to instantiate 3 critical behavioral repertoires (aka cusps): (a) early stages of participative, listener and observant skills, essential components for social behavior, (b) readiness/attention skills that enable the acquisition of missing prerequisite skills to acquire high order generative language, and (c) use of language skills in social situations to develop the full potential of the learner, sometimes turning into a fully verbal individual. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Williams, Gladys;Laitinen, Richard E.","","","Journal","Behavioral Development Bulletin","Educational Publishing Foundation","2017","","US","22","1","258","265","","","*Autism Spectrum Disorders;  *Curriculum;  *Language Development;  *Language Disorders;  *Special Education; Communication","","2017-02497-001","Williams, Gladys: David Gregory School, 347 Farview Avenue, Paramus, NJ, US, 07652, gladyswilliamsaba@hotmail.com","1942-0722(Electronic)","978-1-4338-9046-8","https://doi-org.ez42.periodicos.capes.gov.br/10.1037/bdb0000055"
"Journal Article","Effects of ABRACADABRA literacy instruction on children with autism spectrum disorder.","This study explored the effects of ABRACADABRA, a free computer-assisted literacy program, on the reading accuracy and comprehension skills of children diagnosed with autism spectrum disorder (ASD). ABRACADABRA is a balanced literacy instruction program, targeting both code and meaning-based reading abilities. Twenty children with ASD, aged 5–11 years, were assigned by matched pairs to the instruction group or wait-list control group. Literacy instruction was delivered on a 1:1 basis in participants’ homes over a 13-week period (26 sessions per participant). Pre and post instruction assessment using standardized measures revealed statistically significant gains in reading accuracy and comprehension for the instruction group relative to the wait-list control group, with large effect sizes. These findings indicate that children with ASD may benefit from ABRACADABRA literacy instruction. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","Bailey, Benjamin;Arciuli, Joanne;Stancliffe, Roger J.","","","Journal","Journal of Educational Psychology","American Psychological Association","2017","","US","109","2","257","268","","","*Autism Spectrum Disorders;  *Computer Assisted Instruction;  *Literacy Programs; Reading Comprehension","","2016-30458-001","Arciuli, Joanne: Faculty of Health Sciences, University of Sydney, PO Box 170, Lidcombe, NSW, Australia, 1825, joanne.arciuli@sydney.edu.au","1939-2176(Electronic);0022-0663(Print)","","https://doi-org.ez42.periodicos.capes.gov.br/10.1037/edu0000138"
